--------------------------------------------------------------------------------
		Marvellous Infosystems Process Log

		 File is Created at  Fri Jun 20 17:27:33 2025
{'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System Idle Process'} 
{'pid': 4324, 'username': None, 'name': 'svchost.exe'} 

{'pid': 4340, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'chrome.exe'} 

{'pid': 4368, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'SystemOptimizer.exe'} 

{'pid': 4428, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'SystemSettingsBroker.exe'} 

{'pid': 4480, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'msedgewebview2.exe'} 

{'pid': 4520, 'username': None, 'name': 'dwm.exe'} 

{'pid': 4532, 'username': None, 'name': 'unsecapp.exe'} 

{'pid': 4564, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'conhost.exe'} 

{'pid': 4656, 'username': None, 'name': 'svchost.exe'} 

{'pid': 4660, 'username': None, 'name': 'WmiPrvSE.exe'} 

{'pid': 4756, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'msedge.exe'} 

{'pid': 4760, 'username': None, 'name': 'pgxsrv.exe'} 

{'pid': 4788, 'username': None, 'name': 'svchost.exe'} 

{'pid': 4816, 'username': None, 'name': 'svchost.exe'} 

{'pid': 4936, 'username': None, 'name': 'svchost.exe'} 

{'pid': 4984, 'username': None, 'name': 'svchost.exe'} 

{'pid': 5008, 'username': None, 'name': 'svchost.exe'} 

{'pid': 5024, 'username': None, 'name': 'svchost.exe'} 

{'pid': 5076, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'conhost.exe'} 

{'pid': 5232, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'OverlayHelper.exe'} 

{'pid': 5252, 'username': None, 'name': 'wlanext.exe'} 

{'pid': 5272, 'username': None, 'name': 'svchost.exe'} 

{'pid': 5332, 'username': None, 'name': 'conhost.exe'} 

{'pid': 5388, 'username': None, 'name': 'svchost.exe'} 

{'pid': 5416, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'msedgewebview2.exe'} 

{'pid': 5564, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'Code.exe'} 

{'pid': 5580, 'username': None, 'name': 'svchost.exe'} 

{'pid': 5600, 'username': None, 'name': 'svchost.exe'} 

{'pid': 5616, 'username': None, 'name': 'svchost.exe'} 

{'pid': 5640, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'HPSystemEventUtilityHost.exe'} 

{'pid': 5644, 'username': None, 'name': 'mDNSResponder.exe'} 

{'pid': 5652, 'username': None, 'name': 'AppleMobileDeviceService.exe'} 

{'pid': 5660, 'username': None, 'name': 'HPCommRecovery.exe'} 

{'pid': 5668, 'username': None, 'name': 'nssm.exe'} 

{'pid': 5676, 'username': None, 'name': 'OneApp.IGCC.WinService.exe'} 

{'pid': 5684, 'username': None, 'name': 'svchost.exe'} 

{'pid': 5696, 'username': None, 'name': 'ipf_uf.exe'} 

{'pid': 5712, 'username': None, 'name': 'svchost.exe'} 

{'pid': 5720, 'username': None, 'name': 'jhi_service.exe'} 

{'pid': 5728, 'username': None, 'name': 'OraClrAgnt.exe'} 

{'pid': 5736, 'username': None, 'name': 'TNSLSNR.EXE'} 

{'pid': 5752, 'username': None, 'name': 'svchost.exe'} 

{'pid': 5768, 'username': None, 'name': 'nmesrvc.exe'} 

{'pid': 5784, 'username': None, 'name': 'RtkAudUService64.exe'} 

{'pid': 5792, 'username': None, 'name': 'pg_ctl.exe'} 

{'pid': 5800, 'username': None, 'name': 'svchost.exe'} 

{'pid': 5808, 'username': None, 'name': 'oracle.exe'} 

{'pid': 5828, 'username': None, 'name': 'MpDefenderCoreService.exe'} 

{'pid': 5836, 'username': None, 'name': 'mfemms.exe'} 

{'pid': 5848, 'username': None, 'name': 'IntelAudioService.exe'} 

{'pid': 5856, 'username': None, 'name': 'svchost.exe'} 

{'pid': 5864, 'username': None, 'name': 'PEFService.exe'} 

{'pid': 5876, 'username': None, 'name': 'OfficeClickToRun.exe'} 

{'pid': 5888, 'username': None, 'name': 'XtuService.exe'} 

{'pid': 5896, 'username': None, 'name': 'ELAN_MOC_Service.exe'} 

{'pid': 5904, 'username': None, 'name': 'ipfsvc.exe'} 

{'pid': 5944, 'username': None, 'name': 'SECOMN64.exe'} 

{'pid': 5952, 'username': None, 'name': 'WMIRegistrationService.exe'} 

{'pid': 5960, 'username': None, 'name': 'MsMpEng.exe'} 

{'pid': 5976, 'username': None, 'name': 'mysqld.exe'} 

{'pid': 6000, 'username': None, 'name': 'svchost.exe'} 

{'pid': 6048, 'username': None, 'name': 'ModuleCoreService.exe'} 

{'pid': 6068, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'chrome.exe'} 

{'pid': 6192, 'username': None, 'name': 'expressvpnd.exe'} 

{'pid': 6200, 'username': None, 'name': 'svchost.exe'} 

{'pid': 6292, 'username': None, 'name': 'conhost.exe'} 

{'pid': 6508, 'username': None, 'name': 'conhost.exe'} 

{'pid': 6916, 'username': None, 'name': 'mysqld.exe'} 

{'pid': 6940, 'username': None, 'name': 'conhost.exe'} 

{'pid': 7152, 'username': None, 'name': 'McCSPServiceHost.exe'} 

{'pid': 7348, 'username': None, 'name': 'postgres.exe'} 

{'pid': 7368, 'username': None, 'name': 'conhost.exe'} 

{'pid': 7400, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'msedge.exe'} 

{'pid': 7424, 'username': None, 'name': 'AggregatorHost.exe'} 

{'pid': 7428, 'username': None, 'name': 'svchost.exe'} 

{'pid': 7636, 'username': None, 'name': 'postgres.exe'} 

{'pid': 7644, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'msedgewebview2.exe'} 

{'pid': 7688, 'username': None, 'name': 'MMSSHOST.exe'} 

{'pid': 7704, 'username': None, 'name': 'postgres.exe'} 

{'pid': 7716, 'username': None, 'name': 'postgres.exe'} 

{'pid': 7784, 'username': None, 'name': 'ProtectedModuleHost.exe'} 

{'pid': 7856, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'Code.exe'} 

{'pid': 7932, 'username': None, 'name': 'postgres.exe'} 

{'pid': 7964, 'username': None, 'name': 'csrss.exe'} 

{'pid': 7984, 'username': None, 'name': 'mfevtps.exe'} 

{'pid': 7996, 'username': None, 'name': 'postgres.exe'} 

{'pid': 8004, 'username': None, 'name': 'postgres.exe'} 

{'pid': 8064, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'chrome.exe'} 

{'pid': 8168, 'username': None, 'name': 'svchost.exe'} 

{'pid': 8536, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'duet.exe'} 

{'pid': 8540, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'TabTip.exe'} 

{'pid': 8568, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'BridgeCommunication.exe'} 

{'pid': 8604, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'explorer.exe'} 

{'pid': 8852, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'Code.exe'} 

{'pid': 8912, 'username': None, 'name': 'ModuleCoreService.exe'} 

{'pid': 8924, 'username': None, 'name': 'conhost.exe'} 

{'pid': 9056, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'Code.exe'} 

{'pid': 9420, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'conhost.exe'} 

{'pid': 9520, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'chrome.exe'} 

{'pid': 9620, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'LocationNotificationWindows.exe'} 

{'pid': 9664, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'SecurityHealthSystray.exe'} 

{'pid': 9708, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'backgroundTaskHost.exe'} 

{'pid': 10132, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'PhoneExperienceHost.exe'} 

{'pid': 10284, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'Code.exe'} 

{'pid': 10388, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'RuntimeBroker.exe'} 

{'pid': 10416, 'username': None, 'name': 'svchost.exe'} 

{'pid': 10444, 'username': None, 'name': 'svchost.exe'} 

{'pid': 10496, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'Code.exe'} 

{'pid': 10616, 'username': None, 'name': 'svchost.exe'} 

{'pid': 10636, 'username': None, 'name': 'svchost.exe'} 

{'pid': 10684, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'ipf_helper.exe'} 

{'pid': 10716, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'svchost.exe'} 

{'pid': 10812, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'ms-teams.exe'} 

{'pid': 10848, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'smartscreen.exe'} 

{'pid': 11012, 'username': None, 'name': 'svchost.exe'} 

{'pid': 11152, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'MfeBrowserHost.exe'} 

{'pid': 11200, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'msedge.exe'} 

{'pid': 11220, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'ExpressVPNNotificationService.exe'} 

{'pid': 11224, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'svchost.exe'} 

{'pid': 11288, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'HPEnhancedLighting.Bg.exe'} 

{'pid': 11476, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'OpenConsole.exe'} 

{'pid': 11636, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'chrome.exe'} 

{'pid': 11732, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'svchost.exe'} 

{'pid': 11752, 'username': None, 'name': 'svchost.exe'} 

{'pid': 11760, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'chrome.exe'} 

{'pid': 12060, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'RuntimeBroker.exe'} 

{'pid': 12084, 'username': None, 'name': 'SearchIndexer.exe'} 

{'pid': 12216, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'Code.exe'} 

{'pid': 12224, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'HPMediaNetwork.exe'} 

{'pid': 12376, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'EdrawMaxTray.exe'} 

{'pid': 12644, 'username': None, 'name': 'svchost.exe'} 

{'pid': 12732, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'HPSystemEventUtilityBackground.exe'} 

{'pid': 12760, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'RuntimeBroker.exe'} 

{'pid': 12984, 'username': None, 'name': 'svchost.exe'} 

{'pid': 12996, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'chrome.exe'} 

{'pid': 13060, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'pet.exe'} 

{'pid': 13072, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'OmenInstallMonitor.exe'} 

