--------------------------------------------------------------------------------
Information of Current running Processes
--------------------------------------------------------------------------------
{'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System Idle Process'}
{'pid': 5944, 'username': None, 'name': 'SECOMN64.exe'}
{'pid': 5952, 'username': None, 'name': 'WMIRegistrationService.exe'}
{'pid': 5960, 'username': None, 'name': 'MsMpEng.exe'}
{'pid': 5976, 'username': None, 'name': 'mysqld.exe'}
{'pid': 6000, 'username': None, 'name': 'svchost.exe'}
{'pid': 6048, 'username': None, 'name': 'ModuleCoreService.exe'}
{'pid': 6096, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'svchost.exe'}
{'pid': 6176, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'SECOCL64.exe'}
{'pid': 6192, 'username': None, 'name': 'expressvpnd.exe'}
{'pid': 6200, 'username': None, 'name': 'svchost.exe'}
{'pid': 6204, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'Code.exe'}
{'pid': 6292, 'username': None, 'name': 'conhost.exe'}
{'pid': 6508, 'username': None, 'name': 'conhost.exe'}
{'pid': 6556, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'Code.exe'}
{'pid': 6724, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'OverlayHelper.exe'}
{'pid': 6916, 'username': None, 'name': 'mysqld.exe'}
{'pid': 6940, 'username': None, 'name': 'conhost.exe'}
{'pid': 7108, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'Code.exe'}
{'pid': 7152, 'username': None, 'name': 'McCSPServiceHost.exe'}
{'pid': 7300, 'username': None, 'name': 'svchost.exe'}
{'pid': 7348, 'username': None, 'name': 'postgres.exe'}
{'pid': 7368, 'username': None, 'name': 'conhost.exe'}
{'pid': 7384, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'smartscreen.exe'}
{'pid': 7424, 'username': None, 'name': 'AggregatorHost.exe'}
{'pid': 7428, 'username': None, 'name': 'svchost.exe'}
{'pid': 7636, 'username': None, 'name': 'postgres.exe'}
{'pid': 7688, 'username': None, 'name': 'MMSSHOST.exe'}
{'pid': 7704, 'username': None, 'name': 'postgres.exe'}
{'pid': 7716, 'username': None, 'name': 'postgres.exe'}
{'pid': 7784, 'username': None, 'name': 'ProtectedModuleHost.exe'}
{'pid': 7932, 'username': None, 'name': 'postgres.exe'}
{'pid': 7984, 'username': None, 'name': 'mfevtps.exe'}
{'pid': 7996, 'username': None, 'name': 'postgres.exe'}
{'pid': 8004, 'username': None, 'name': 'postgres.exe'}
{'pid': 8168, 'username': None, 'name': 'svchost.exe'}
{'pid': 8356, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'cmd.exe'}
{'pid': 8460, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'Code.exe'}
{'pid': 8468, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'Code.exe'}
{'pid': 8912, 'username': None, 'name': 'ModuleCoreService.exe'}
{'pid': 8924, 'username': None, 'name': 'conhost.exe'}
{'pid': 9160, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'RuntimeBroker.exe'}
{'pid': 9336, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'svchost.exe'}
{'pid': 9384, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'uihost.exe'}
{'pid': 9476, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'RuntimeBroker.exe'}
{'pid': 9968, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'HPMediaNetwork.exe'}
{'pid': 9976, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'Code.exe'}
{'pid': 10060, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'conhost.exe'}
{'pid': 10312, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'backgroundTaskHost.exe'}
{'pid': 10408, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'unsecapp.exe'}
{'pid': 10416, 'username': None, 'name': 'svchost.exe'}
{'pid': 10444, 'username': None, 'name': 'svchost.exe'}
{'pid': 10456, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'HPSystemEventUtilityBackground.exe'}
{'pid': 10508, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'Code.exe'}
{'pid': 10616, 'username': None, 'name': 'svchost.exe'}
{'pid': 10636, 'username': None, 'name': 'svchost.exe'}
{'pid': 10848, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'ms-teams.exe'}
{'pid': 10904, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'python.exe'}
{'pid': 11012, 'username': None, 'name': 'svchost.exe'}
{'pid': 11096, 'username': None, 'name': 'fontdrvhost.exe'}
